bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.182,,,,,,,,,,,,88de2b43-02c7-4431-802d-8c879487f0d3,93,,"[64.0, 77.0]",18236,1,,,-0.24497867,,,Right Foot,,"[68.0, 76.0]",,High Pass,4.1231055,Incomplete,,,,,,1,Regular Play,Michael Carrick,4751.0,Left Defensive Midfield,8,Manchester United,39,['703578a2-2407-43ef-9994-f8f899f37d81'],47,,,,,,,,,,,,,,,Manchester United,39,00:01:47.600,Pass,
,,,,,,,,,,,,1.5897,,,,,,,,,,,,1e68fdc6-669a-4e20-af04-9e2a0b7e1890,95,,"[76.0, 80.0]",18236,2,,,-0.21406068,,,,,"[99.0, 75.0]",,High Pass,23.537205,Incomplete,Luis Antonio Valencia Mosquera,3267.0,,,Throw-in,1,From Throw In,Fábio Pereira da Silva,18239.0,Right Back,9,Manchester United,39,"['a2f4bd92-a74c-485a-b09d-4c58f014c54d', 'abc5b029-f0fb-44d5-9e0d-5418bdf9b9e7']",17,,,,,,,,,,,,,,,Manchester United,39,00:02:17.151,Pass,
,,,,,,,,,,,,1.512224,,,,,,,,,,,,a2f4bd92-a74c-485a-b09d-4c58f014c54d,97,,"[22.0, 6.0]",18236,2,,,0.071307465,,,Other,,"[36.0, 7.0]",,Low Pass,14.035668,,Sergio Busquets i Burgos,5203.0,,,Interception,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,10,Barcelona,217,"['1e68fdc6-669a-4e20-af04-9e2a0b7e1890', '7aabceeb-6c69-4ff9-98e9-ec7cc0c42326']",18,,,,,,,,,,,,,,,Barcelona,217,00:02:18.740,Pass,
,,,,,,,,,,,,0.552652,,,,,,,,,,,,9d05f746-d1af-4bd4-8dfa-fc1d4c637f2c,100,,"[36.0, 7.0]",18236,2,,,3.1415927,,,Right Foot,,"[31.0, 7.0]",,Ground Pass,5.0,,Andrés Iniesta Luján,5216.0,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,10,Barcelona,217,['60d4536a-b8c8-462c-9d44-45d660266058'],20,,,,,,,,,,,,,,,Barcelona,217,00:02:20.265,Pass,
,,,,,,,,,,,,1.022565,,,,,,,,,,,,9c948bd0-0f85-4eb7-9d00-6279deb76230,103,,"[31.0, 7.0]",18236,2,,,0.66104317,,,Right Foot,,"[49.0, 21.0]",,Ground Pass,22.803509,,Lionel Andrés Messi Cuccittini,5503.0,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,10,Barcelona,217,['09291684-d106-4b34-b500-e264e8b798f1'],21,,,,,,,,,,,,,,,Barcelona,217,00:02:21.695,Pass,
,,,,,,,,,,,,0.757,,,,,,,,,,,,eb589068-7f59-4525-8be8-1a36e8a5df6e,109,,"[60.0, 54.0]",18236,2,,,-0.14189705,,,Right Foot,,"[67.0, 53.0]",,Ground Pass,7.071068,,Ryan Giggs,20175.0,,,Recovery,1,Regular Play,Rio Ferdinand,20171.0,Right Center Back,11,Manchester United,39,['4445c9bd-b017-4faa-a6cd-b9547021f92a'],25,,,,,,,,,,,,,,,Manchester United,39,00:02:25.610,Pass,
,,,,,,,,,,,,0.9983,,,,,,,,,,,,fde7ec27-369a-4579-8747-63ccf0b2ce87,112,,"[67.0, 53.0]",18236,2,,,1.19029,,,Left Foot,,"[73.0, 68.0]",,Ground Pass,16.155495,,Luis Antonio Valencia Mosquera,3267.0,,,,1,Regular Play,Ryan Giggs,20175.0,Right Defensive Midfield,11,Manchester United,39,['c8b584e0-cbde-4829-96c9-7ef32baa9dc7'],26,,,,,,,,,,,,,,,Manchester United,39,00:02:26.899,Pass,
,,,,,,,,,,,,1.7293,,,,,,,,,,,,3b11f7ac-6a80-47e5-82d9-efd1d803bddc,115,,"[73.0, 68.0]",18236,2,,,-2.918116,,,Right Foot,,"[51.0, 63.0]",,Ground Pass,22.561028,,Rio Ferdinand,20171.0,,,,1,Regular Play,Luis Antonio Valencia Mosquera,3267.0,Right Wing,11,Manchester United,39,['31123161-f526-4771-a917-6224f5135862'],27,,,,,,,,,,,,,,,Manchester United,39,00:02:27.938,Pass,
,,,,,,,,,,,,3.0039,,,,,,,,,,,,6f697049-e463-4e81-b4f8-c80ed779e360,119,,"[53.0, 59.0]",18236,2,,,-0.93804747,,,Right Foot,,"[86.0, 14.0]",,High Pass,55.803226,Incomplete,Ji-Sung Park,20173.0,,True,,1,Regular Play,Rio Ferdinand,20171.0,Right Center Back,11,Manchester United,39,"['71f8f154-b738-4bd0-bf7a-4a78667151b2', '8ec6aba7-f545-427d-a94b-58f850bfdb82']",31,,,,,,,,,,,,,,,Manchester United,39,00:02:31.027,Pass,
,,,,,,,,,,,,1.4245,,,,,,,,,,,,71f8f154-b738-4bd0-bf7a-4a78667151b2,121,,"[35.0, 67.0]",18236,2,,,-0.066568166,,,Head,,"[50.0, 66.0]",,Low Pass,15.033297,Incomplete,David Villa Sánchez,12737.0,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,11,Manchester United,39,"['6080d420-1370-47dc-b3dc-9d719ee1e19c', '6f697049-e463-4e81-b4f8-c80ed779e360', 'a816b05e-9607-461a-b0b2-c7b212e46833']",34,,,,,,,,,,,,,,,Barcelona,217,00:02:34.031,Pass,
